gu,pop,korpop,forepop,lat,lon
강남구,537817,532798,5019,37.4959854,127.0664091
강동구,464027,459982,4045,37.5492077,127.1464824
강북구,296934,292762,4172,37.6469954,127.0147158
강서구,573711,568287,5424,37.5657617,126.8226561
관악구,502628,487815,14813,37.4653993,126.9438071
광진구,350925,336801,14124,37.5481445,127.0857528
구로구,417983,395183,22800,37.4954856,126.858121
금천구,242467,229307,13160,37.4600969,126.9001546
노원구,506989,502515,4474,37.655264,127.0771201
도봉구,312858,310509,2349,37.6658609,127.0317674
동대문구,354884,337574,17310,37.5838012,127.0507003
동작구,390377,380201,10176,37.4965037,126.9443073
마포구,376542,365570,10972,37.5622906,126.9087803
서대문구,321966,308437,13529,37.5820369,126.9356665
서초구,408979,404831,4148,37.4769528,127.0378103
성동구,287240,280240,7000,37.5506753,127.0409622
성북구,441855,430100,11755,37.606991,127.0232185
송파구,663704,658006,5698,37.5048534,127.1144822
양천구,442345,439219,3126,37.5270616,126.8561534
영등포구,398999,376614,22385,37.520641,126.9139242
용산구,232482,217756,14726,37.5311008,126.9810742
은평구,468766,464871,3895,37.6176125,126.9227004
종로구,152212,141060,11152,37.5990998,126.9861493
중구,131390,120963,10427,37.5579452,126.9941904
중랑구,389928,385003,4925,37.5953795,127.0939669
