Id,성분,효능,브랜드명,스킨케어,제품명,가격,전성분표기,효능.1,피부타입,이미지url,비건인증,유니크,일반성분,고유성분,
AM17,"Rosmarinus Officinalis (Rosemary) Leaf Water, Scutellaria Baicalensis Root Extract, 1,2-Hexanediol, Propanediol, Illicium Verum (Anise) Fruit Extract, Aloe Barbadensis Leaf Extract, Sodium Carbomer, Butylene Glycol, Maltodextrin","보습/수분 공급: 4, 용매: 3, 유화 안정화: 2, 진정: 2, 흡수제: 1, 항균: 1, 항산화: 1, 수분 조절: 1, 보습/진정: 1, 점도조절 성분: 1",아로마티카,로션/크림,수딩 알로에 베라 젤 150,467,"알로에베라잎추출물,프로판다이올,1??2-헥산다이올,로즈마리잎수,소듐카보머,부틸렌글라이콜,스타아니스추출물,황금추출물,말토덱스트린","수분공급, 진정",모든피부,https://aromatica.co.kr/web/product/medium/202307/a15f0a03d4a674bf4ff5bc437cc6768c.jpg,VeganSociety,1,9,,
BJ6,"Saccharomyces Ferment, 1,2-Hexanediol, Pentylene Glycol, Caprylyl Glycol, Camellia Sinensis Leaf Extract, Water, Ginkgo Biloba Nut Extract, Morus Alba Fruit Extract, Nelumbo Nucifera Leaf Extract, Epigallocatechin Gallate, Houttuynia Cordata Extract, Punica Granatum Fruit Extract, Cryptomeria Japonica Leaf Extract, Butylene Glycol, Alcohol Denat., Ficus Carica (Fig) Fruit Extract","용매: 5, 항산화: 4, 보습/수분 공급: 4, 진정: 3, 항균: 1, 수분 조절: 1, 냄새 방지: 1, 보습/진정: 1, 점도조절 성분: 1",보나쥬르,스킨/토너,아크 그린티 스킨 150,667,"정제수,부틸렌글라이콜,녹차추출물,에피갈로카테킨갈레이트,효모발효물,연꽃잎추출물,삼나무잎추출물,약모밀추출물,석류추출물,무화과추출물,뽕나무열매추출물,은행추출물,펜틸렌글라이콜,1??2-헥산다이올,카프릴릴글라이콜,변성알코올","피부수렴, 진정, 피지조절","지성, 복합성",https://www.bonajour.com/web/product/big/202103/ce11bcd51134d50a1f8186a3e63a5a68.jpg,VeganSociety,0,9,,
AM18,"Rosmarinus Officinalis (Rosemary) Leaf Water, Scutellaria Baicalensis Root Extract, 1,2-Hexanediol, Propanediol, Illicium Verum (Anise) Fruit Extract, Aloe Barbadensis Leaf Extract, Sodium Carbomer, Butylene Glycol, Maltodextrin","보습/수분 공급: 4, 용매: 3, 유화 안정화: 2, 진정: 2, 흡수제: 1, 항균: 1, 항산화: 1, 수분 조절: 1, 보습/진정: 1, 점도조절 성분: 1",아로마티카,로션/크림,수딩 알로에 베라 젤 300,367,"알로에베라잎추출물,프로판다이올,1??2-헥산다이올,로즈마리잎수,소듐카보머,부틸렌글라이콜,스타아니스추출물,황금추출물,말토덱스트린","수분공급, 진정",모든피부,https://aromatica.co.kr/web/product/medium/202307/32d322ff408ca24f5cd84001c2c8fd66.jpg,VeganSociety,1,9,,
TN10,"Hibiscus Sabdariffa Flower Water, Propanediol, Pentylene Glycol, Panthenol, Water, Xanthan Gum, Arginine, Citric Acid, Sodium Hyaluronate, Sodium PCA, Sodium Chloride, Glycerin, Betaine","보습/수분 공급: 7, 피부와 유사한 성분: 4, 용매: 3, 점도조절 성분: 2, 완충화제: 1, 유화 안정화: 1, 진정: 1",톤28,스킨/토너,플러스마이너스  균형제 (토너) 100,1400,"히비스커스꽃수,정제수,프로판다이올,펜틸렌글라이콜,글리세린,베타인,소듐피씨에이,소듐하이알루로네이트,소듐클로라이드,판테놀,알지닌,잔탄검,시트릭애씨드",수분공급,모든피부,https://drive.google.com/uc?export=view&id=1TTNQ1-hGkSefOgD3fq1F9os-2ssXlqof,VeganSociety,0,7,,
AM20,"Rosmarinus Officinalis (Rosemary) Leaf Water, Scutellaria Baicalensis Root Extract, 1,2-Hexanediol, Propanediol, Illicium Verum (Anise) Fruit Extract, Aloe Barbadensis Leaf Extract, Sodium Carbomer, Butylene Glycol, Maltodextrin","보습/수분 공급: 4, 용매: 3, 유화 안정화: 2, 진정: 2, 흡수제: 1, 항균: 1, 항산화: 1, 수분 조절: 1, 보습/진정: 1, 점도조절 성분: 1",아로마티카,로션/크림,수딩 알로에 베라 젤 리필 500,300,"알로에베라잎추출물,프로판다이올,1??2-헥산다이올,로즈마리잎수,소듐카보머,부틸렌글라이콜,스타아니스추출물,황금추출물,말토덱스트린","수분공급, 진정",모든피부,https://aromatica.co.kr/web/product/medium/202203/b36497f43a5e764bf91318d3e663bf65.jpg,VeganSociety,1,9,,
AY2,"Hydroxyacetophenone, Sasa Quelpaertensis Extract, Hydrolyzed Hyaluronic Acid, Disodium EDTA, Viscum Album (Mistletoe) Extract, 1,2-Hexanediol, Hyaluronic Acid, Propanediol, Water, Nelumbo Nucifera Leaf Extract, Ethylhexylglycerin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Artemisia Vulgaris Extract, Sodium Hyaluronate, Glycerin, Glycereth-26, Morus Bombycis Leaf Extract, Butylene Glycol","보습/수분 공급: 7, 용매: 4, 피부와 유사한 성분: 3, 점도조절 성분: 2, 항산화: 1, 철합제: 1, 냄새 방지: 1, 보습/진정: 1, 보존: 1",오드리앤영,스킨/토너,하이 비건 얼스 워터 토너 200,750,"정제수,글리세린,부틸렌글라이콜,1??2-헥산다이올,글리세레스-26,하이드록시아세토페논,프로판다이올,에틸헥실글리세린,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,다이소듐이디티에이,소듐하이알루로네이트,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,연꽃잎추출물,제주조릿대추출물,겨우살이추출물,산뽕나무잎추출물,불가리스쑥추출물","수분공급, 보습, 피부진정","모든피부, 건성",https://cdn-pro-web-250-83.cdn-nhncommerce.com/hanmiinter_godomall_com/data/goods/21/05/21/1000000074/1000000074_main_017.jpg,"PETA, EVE VEGAN",0,9,,
LS3,"Citrus Paradisi (Grapefruit) Fruit Water, Juniperus Communis Fruit Water, Melaleuca Alternifolia (Tea Tree) Leaf Water, Fragrance, Methylparaben, Limonene","냄새 방지: 1, 향료: 1, 보존: 1, 용매: 1",러쉬,스킨/토너,티 트리 워터 100,1600,"티트리잎수,자몽수,두송열매수,향료,리모넨,메틸파라벤","수분공급,저자극,진정,트러블",모든피부,https://shop-phinf.pstatic.net/20230727_94/1690416430694q2rBt_JPEG/37381685494673652_550328730.jpg?type=m510,VeganSociety,0,4,3,
LS4,"Lavandula Angustifolia (Lavender) Water, Fragrance, Rosa Damascena Flower Water, Geraniol, Citronellol, Methylparaben, Limonene, Linalool","향료: 4, 냄새 방지: 2, 보존: 1, 용매: 1",러쉬,스킨/토너,오 로마 워터 100,1600,"라벤더수,다마스크장미꽃수,향료,시트로넬올,제라니올,리모넨,리날룰,메틸파라벤","수분공급,저자극,진정,트러블",모든피부,https://shop-phinf.pstatic.net/20180207_86/lushon_1517984383936MEHUT_JPEG/41291563578291983_2012598393.jpg?type=m510,VeganSociety,0,4,3,
LS6,"Rosa Damascena Flower Extract, Aniba Rosodora (Rosewood) Wood Oil, Pogostemon Cablin Oil, Fragrance, Sea Water, Chondrus Crispus Extract, Onsen-Sui, Aloe Barbadensis Leaf Extract, Fucus Vesiculosus Extract, Methylparaben, Limonene, Linalool","냄새 방지: 2, 보습/진정: 2, 보습/수분 공급: 2, 향료: 2, 진정: 2, 보존: 1, 용매: 1, 점도조절 성분: 1",러쉬,스킨/토너,브레스 오브 프레쉬 에어 100,1600,"온천수,해수,알로에베라잎추출물,향료,다마스크장미꽃추출물,광곽향오일,로즈우드오일,블래더랙추출물,리모넨,리날룰,아이리쉬모스추출물,메틸파라벤","수분공급,저자극,진정,트러블",모든피부,https://shop-phinf.pstatic.net/20180207_65/lushon_1517984235783geeth_JPEG/41291415425633265_440577446.jpg?type=m510,VeganSociety,0,8,7,
AM19,"Rosmarinus Officinalis (Rosemary) Leaf Water, Scutellaria Baicalensis Root Extract, 1,2-Hexanediol, Propanediol, Illicium Verum (Anise) Fruit Extract, Aloe Barbadensis Leaf Extract, Sodium Carbomer, Butylene Glycol, Maltodextrin","보습/수분 공급: 4, 용매: 3, 유화 안정화: 2, 진정: 2, 흡수제: 1, 항균: 1, 항산화: 1, 수분 조절: 1, 보습/진정: 1, 점도조절 성분: 1",아로마티카,로션/크림,수딩 알로에 베라 젤 500,320,"알로에베라잎추출물,프로판다이올,1??2-헥산다이올,로즈마리잎수,소듐카보머,부틸렌글라이콜,스타아니스추출물,황금추출물,말토덱스트린","수분공급, 진정",모든피부,https://aromatica.co.kr/web/product/medium/202307/03af8207f269b2fd305dc226eb2c98ad.jpg,VeganSociety,1,9,,
