브랜드명,국가,스킨케어,제품명,Id,가격,전성분표기,효능,피부타입,이미지url,비건인증
닥터브로너스,미국,스킨/토너,로즈 발란싱 스킨 소프트너 240ml,DB1,23000,"정제수,다마스크장미꽃수,에탄올,알로에베라잎즙,글리세린,꿀,라벤더오일,버지니아풍년화수,잔탄검,호호바씨오일,삼씨오일,아보카도오일,토코페롤,시트랄,유제놀,제라니올,리날룰,시트로넬올,리모넨,쿠마린","보습,진정",건성,https://drbronnerskorea.com/web/product/big/202307/41f8138efae3fe4329975bde7f4d8f1a.jpg,VEGAN ACTION
닥터브로너스,미국,스킨/토너,로즈 발란싱 스킨 소프트너 475ml,DB2,38000,"정제수,다마스크장미꽃수,에탄올,알로에베라잎즙,글리세린,꿀,라벤더오일,버지니아풍년화수,잔탄검,호호바씨오일,삼씨오일,아보카도오일,토코페롤,시트랄,유제놀,제라니올,리날룰,시트로넬올,리모넨,쿠마린","보습,진정",건성,https://drbronnerskorea.com/web/product/big/202307/589bf25d86753f4636b195c7d49e8f7b.jpg,VEGAN ACTION
닥터브로너스,미국,스킨/토너,라벤더 발란싱 스킨 소프트너 240ml,DB3,23000,"정제수,다마스크장미꽃수,에탄올,알로에베라잎즙,글리세린,꿀,라벤더오일,버지니아풍년화수,잔탄검,호호바씨오일,삼씨오일,아보카도오일,토코페롤,시트랄,유제놀,제라니올,리날룰,시트로넬올,리모넨,쿠마린","보습,진정",복합성,https://drbronnerskorea.com/web/product/big/202307/73d2450c6eff5f5dee5dcb4a308c87b3.jpg,VEGAN ACTION
닥터브로너스,미국,스킨/토너,라벤더 발란싱 스킨 소프트너 475ml,DB4,38000,"정제수,다마스크장미꽃수,에탄올,알로에베라잎즙,글리세린,꿀,라벤더오일,버지니아풍년화수,잔탄검,호호바씨오일,삼씨오일,아보카도오일,토코페롤,시트랄,유제놀,제라니올,리날룰,시트로넬올,리모넨,쿠마린","보습,진정",복합성,https://drbronnerskorea.com/web/product/big/202307/b9785eb6220933fcf7f921b0d488c923.jpg,VEGAN ACTION
닥터슈라클,한국,로션/크림,비건 액티브 베리 퍼밍 아이크림,DS1,34000,"정제수,부틸렌글라이콜,글리세린,카프릴릭/카프릭트라이글리세라이드,세테아릴알코올,비닐다이메티콘,세테아릴올리베이트,솔비탄올리베이트,아이소노닐아이소노나노에이트,메도우폼씨오일,베타인,시어버터,호호바씨오일,크랜베리추출물,한련초추출물,다시마추출물,한련초잎추출물,인도멀구슬나무잎추출물,포도씨오일,소듐하이알루로네이트,올리브오일,센티드제라늄꽃오일,라벤더오일,캐모마일꽃오일,오렌지껍질오일,멕시칸주니퍼오일,하이드로제네이티드레시틴,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,칸데릴라왁스,하이드로제네이티드폴리데센,소듐폴리아크릴로일다이메틸타우레이트,다이메티콘/비닐다이메티콘크로스폴리머,다이메티콘올,트라이실록세인,잔탄검,아데노신,다이소듐이디티에이,구아검,아가,소듐폴리아크릴레이트,글루타티온,스쿠알란,콜레스테롤,토코페롤,사이아노코발아민,티타늄디옥사이드,팔미틱애씨드,스테아릭애씨드,콜라겐,드럼스틱씨오일,류코노스톡/무발효여과물,프룩토올리고사카라이드,레스베라트롤,바쿠치올,베타-글루칸,세라마이드엔피,하이드롤라이즈드하이알루로닉애씨드,알루미늄하이드록사이드,트라이에톡시카프릴릴실레인,1❤️2-헥산다이올,하이드록시아세토페논,에틸헥실글리세린,카프릴릴글라이콜",안티에이징,건성,https://lghmaltr8820.cdn-nhncommerce.com/data/goods/23/08/33/1562/1562_detail_069.png,한국비건인증원
닥터슈라클,한국,로션/크림,비건 액티브 베리 리프팅 크림,DS2,40000,"정제수,프로판다이올,글리세린,사이클로헥사실록세인,1❤️2-헥산다이올,베타인,폴리글리세린-3,하이드로제네이티드폴리(C6-14올레핀),아이소노닐아이소노나노에이트,다이카프릴릴카보네이트,카프릴릭/카프릭트라이글리세라이드,폴리글리세릴-10스테아레이트,하이드로제네이티드폴리데센,다시마추출물,한련초잎추출물,크랜베리추출물,한련초추출물,인도멀구슬나무잎추출물,포도씨오일,소듐하이알루로네이트,하이드로제네이티드레시틴,올리브오일,센티드제라늄꽃오일,라벤더오일,캐모마일꽃오일,오렌지껍질오일,멕시칸주니퍼오일,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,C14-22알코올,비닐다이메티콘,다이메티콘올,C12-20알킬글루코사이드,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,트로메타민,폴리쿼터늄-51,다이소듐이디티에이,아데노신,프룩토올리고사카라이드,부틸렌글라이콜,구아검,아가,베타-글루칸,하이드롤라이즈드하이알루로닉애씨드,글루코오스,식물성스쿠알란,잔탄검,티타늄디옥사이드,콜라겐,드럼스틱씨오일,류코노스톡/무발효여과물,레스베라트롤,세라마이드엔피,트라이에톡시카프릴릴실레인,알루미늄하이드록사이드,에틸헥실글리세린,카프릴릴글라이콜",안티에이징,건성,https://lghmaltr8820.cdn-nhncommerce.com/data/goods/23/01/02/1540/1540_detail_053.png,한국비건인증원
닥터슈라클,한국,에센스/세럼/앰플,비건 액티브 베리 퍼스트 에센스,DS3,40000,"정제수,글리세린,1❤️2-헥산다이올,메틸프로판다이올,글리세레스-26,병풀추출물,무화과추출물,다시마추출물,한련초잎추출물,크랜베리추출물,한련초추출물,인도멀구슬나무잎추출물,하이드로제네이티드레시틴,소듐하이알루로네이트,포도씨오일,올리브오일,센티드제라늄꽃오일,라벤더오일,캐모마일꽃오일,오렌지껍질오일,멕시칸주니퍼오일,다이글리세린,아이소노닐아이소노나노에이트,옥틸도데세스-16,카보머,트로메타민,아데노신,다이소듐이디티에이,프룩토올리고사카라이드,부틸렌글라이콜,구아검,아가,베타-글루칸,베타인,하이드롤라이즈드하이알루로닉애씨드,세라마이드엔피,잔탄검,티타늄디옥사이드,드럼스틱씨오일,레스베라트롤,콜라겐,류코노스톡/무발효여과물,식물성스쿠알란,트라이에톡시카프릴릴실레인,알루미늄하이드록사이드,하이드록시아세토페논,에틸헥실글리세린,카프릴릴글라이콜",안티에이징,건성,https://lghmaltr8820.cdn-nhncommerce.com/data/goods/22/12/52/1537/1537_detail_060.png,한국비건인증원
닥터슈라클,한국,로션/크림,비건 콤부차 티 젤 크림,DS4,32000,"녹차수,홍차추출물,효모발효여과물,글리세린,메틸프로판다이올,다이카프릴릴에터,정제수,글리세레스-26,나이아신아마이드,1❤️2-헥산다이올,다시마추출물,한련초잎추출물,우엉뿌리추출물,진흙버섯추출물,카카오씨추출물,오미자추출물,하이드로제네이티드레시틴,로즈마리잎오일,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,카보머,트로메타민,폴리쿼터늄-51,해바라기씨오일불검화물,프룩토올리고사카라이드,잔탄검,베타-글루칸,덱스트린,하이드롤라이즈드하이알루로닉애씨드,부틸렌글라이콜,하이드록시아세토페논,에틸헥실글리세린",수분공급,모든피부,https://lghmaltr8820.cdn-nhncommerce.com/data/goods/21/07/27/1395/1395_detail_050.png,한국비건인증원
닥터슈라클,한국,에센스/세럼/앰플,비건 콤부차 티 에센스,DS5,38000,"녹차수,홍차추출물,효모발효여과물,트라이에틸헥사노인,하이드로제네이티드폴리(C6-14올레핀),정제수,1❤️2-헥산다이올,메틸프로판다이올,병풀추출물,무화과추출물,카카오씨추출물,오미자추출물,당느릅나무뿌리추출물,줄맨드라미씨추출물,소듐하이알루로네이트,하이드로제네이티드레시틴,트라이라우레스-4포스페이트,폴리쿼터늄-51,해바라기씨오일불검화물,부틸렌글라이콜,덱스트린,세라마이드엔피,에틸헥실글리세린","수분공급,보습",모든피부,https://lghmaltr8820.cdn-nhncommerce.com/data/goods/20/12/53/1357/1357_detail_016.png,한국비건인증원
더온리프,한국,스킨/토너,비건 어성초 파하 토너 260ml,DO1,23500,"정제수,약모밀추출물,부틸렌글라이콜,글리세린,1❤️2-헥산다이올,나이아신아마이드,쇠비름추출물,병풀추출물,무화과추출물,사탕수수추출물,흰버드나무껍질추출물,인도멀구슬나무꽃추출물,인도멀구슬나무잎추출물,울금뿌리추출물,홀리바질잎추출물,호장근뿌리추출물,황금추출물,녹차추출물,스페인감초뿌리추출물,참산호말추출물,로즈마리잎추출물,마트리카리아꽃추출물,하이드로제네이티드레시틴,소듐시트레이트,옥틸도데세스-16,시트릭애씨드,다이소듐이디티에이,글루코노락톤,카프릴로일살리실릭애씨드,세라마이드엔피,락토바실러스발효용해물,락토코쿠스발효용해물,비피다발효여과물,비피다발효용해물,효모발효여과물,하이드록시아세토페논,에틸헥실글리세린","피지개선,모공타이트닝",민감성,https://theonleaf.kr/web/product/small/202208/4c038f775df6186bf8031425696423e9.jpg,PETA
